date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2023-08-11,La Liga,Almeria,Vallecano,0,2,2.64,3.16,2.85,2.27,,closing,football-data:2324:SP1
2023-08-11,La Liga,Sevilla,Valencia,1,2,1.93,3.36,4.4,2.34,,closing,football-data:2324:SP1
2023-08-11,Ligue 1,Nice,Lille,1,1,2.49,3.4,2.86,1.89,,closing,football-data:2324:F1
2023-08-11,Premier League,Burnley,Man City,0,3,9.27,5.45,1.33,1.64,,closing,football-data:2324:E0
2023-08-12,La Liga,Ath Bilbao,Real Madrid,0,2,3.31,3.43,2.23,1.94,,closing,football-data:2324:SP1
2023-08-12,La Liga,Las Palmas,Mallorca,1,1,2.58,2.88,3.22,2.99,,closing,football-data:2324:SP1
2023-08-12,La Liga,Sociedad,Girona,1,1,1.81,3.56,4.76,2.15,,closing,football-data:2324:SP1
2023-08-12,Ligue 1,Marseille,Reims,2,1,1.9,3.69,4.03,1.85,,closing,football-data:2324:F1
2023-08-12,Ligue 1,Paris SG,Lorient,0,0,1.4,4.77,7.89,1.78,,closing,football-data:2324:F1
2023-08-12,Premier League,Arsenal,Nott'm Forest,2,1,1.19,7.43,15.98,1.49,,closing,football-data:2324:E0
2023-08-12,Premier League,Bournemouth,West Ham,1,1,2.7,3.53,2.59,1.74,,closing,football-data:2324:E0
2023-08-12,Premier League,Brighton,Luton,4,1,1.28,5.99,10.91,1.55,,closing,football-data:2324:E0
2023-08-12,Premier League,Everton,Fulham,0,1,2.32,3.28,3.27,2.17,,closing,football-data:2324:E0
2023-08-12,Premier League,Newcastle,Aston Villa,5,1,1.65,4.14,5.17,1.68,,closing,football-data:2324:E0
2023-08-12,Premier League,Sheffield United,Crystal Palace,0,1,3.81,3.16,2.16,2.54,,closing,football-data:2324:E0
2023-08-13,La Liga,Celta,Osasuna,0,2,2.11,3.18,3.86,2.42,,closing,football-data:2324:SP1
2023-08-13,La Liga,Getafe,Barcelona,0,0,7.01,3.97,1.54,2.23,,closing,football-data:2324:SP1
2023-08-13,La Liga,Villarreal,Betis,1,2,1.73,3.95,4.67,1.73,,closing,football-data:2324:SP1
2023-08-13,Ligue 1,Brest,Lens,3,2,3.59,3.26,2.15,2.25,,closing,football-data:2324:F1
2023-08-13,Ligue 1,Clermont,Monaco,2,4,2.96,3.48,2.36,1.8,,closing,football-data:2324:F1
2023-08-13,Ligue 1,Montpellier,Le Havre,2,2,1.72,3.67,5.11,2.11,,closing,football-data:2324:F1
2023-08-13,Ligue 1,Nantes,Toulouse,1,2,2.96,3.41,2.37,1.89,,closing,football-data:2324:F1
2023-08-13,Ligue 1,Rennes,Metz,5,1,1.63,4.09,5.09,1.71,,closing,football-data:2324:F1
2023-08-13,Ligue 1,Strasbourg,Lyon,2,1,2.49,3.57,2.73,1.68,,closing,football-data:2324:F1
2023-08-13,Premier League,Brentford,Tottenham,2,2,2.6,3.52,2.7,1.72,,closing,football-data:2324:E0
2023-08-13,Premier League,Chelsea,Liverpool,1,1,3.04,3.75,2.26,1.54,,closing,football-data:2324:E0
2023-08-14,La Liga,Ath Madrid,Granada,3,1,1.32,5.46,9.45,1.64,,closing,football-data:2324:SP1
2023-08-14,La Liga,Cadiz,Alaves,1,0,2.27,2.92,3.73,2.86,,closing,football-data:2324:SP1
2023-08-14,Premier League,Man United,Wolves,1,0,1.27,6.12,10.96,1.6,,closing,football-data:2324:E0
2023-08-18,Bundesliga,Werder Bremen,Bayern Munich,0,4,8.69,6.05,1.31,1.34,,closing,football-data:2324:D1
2023-08-18,La Liga,Mallorca,Villarreal,0,1,2.72,3.22,2.72,2.16,,closing,football-data:2324:SP1
