id,sport_key,sport_title,commence_time,home,away,home_score,away_score,result,completed,source
d8b6d9e196b22bb6a224ec404730c671,tennis_wta_wimbledon,WTA Wimbledon,2026-07-06T12:30:00Z,Jasmine Paolini,Alexandra Eala,2,1,home,true,manual:verified:2026-07-06
5aadb0dbbad4128c3faf3df033ae5878,tennis_atp_wimbledon,ATP Wimbledon,2026-07-06T12:00:00Z,Alex de Minaur,Flavio Cobolli,0,3,away,true,manual:verified:2026-07-06
0351ac13f45c028104c1b860422817ef,baseball_mlb,MLB,2026-07-06T01:31:00Z,Los Angeles Angels,Boston Red Sox,5,7,away,true,the-odds-api:scores:baseball_mlb
e61a7b471cadc8e3849158ed59d49cab,soccer_fifa_world_cup,FIFA World Cup,2026-07-06T01:00:00Z,Mexico,England,2,3,away,true,the-odds-api:scores:soccer_fifa_world_cup
2991d31eedcff470d7105f7237e66e03,baseball_mlb,MLB,2026-07-05T23:21:00Z,Los Angeles Dodgers,San Diego Padres,2,5,away,true,the-odds-api:scores:baseball_mlb
2cf5f7fa6ed79ae90ee9f6aa70ceb1e2,baseball_mlb,MLB,2026-07-05T21:05:58Z,Seattle Mariners,Toronto Blue Jays,4,0,home,true,the-odds-api:scores:baseball_mlb
5fb0c67a8c660b822db6b5a2a9d75125,baseball_mlb,MLB,2026-07-05T20:31:00Z,Athletics,Miami Marlins,8,9,away,true,the-odds-api:scores:baseball_mlb
a2dde9d9ca56dc238d564ace87b244f0,baseball_mlb,MLB,2026-07-05T20:07:34Z,Colorado Rockies,San Francisco Giants,7,6,home,true,the-odds-api:scores:baseball_mlb
acc7a54706d2d24e201d069a00e76d50,baseball_mlb,MLB,2026-07-05T20:05:53Z,Arizona Diamondbacks,Milwaukee Brewers,2,3,away,true,the-odds-api:scores:baseball_mlb
a4634eae056c18d705e3feffb347163f,soccer_fifa_world_cup,FIFA World Cup,2026-07-05T20:00:00Z,Brazil,Norway,1,2,away,true,the-odds-api:scores:soccer_fifa_world_cup
